Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
01-04-2019,322,327.5,321.2,322.8,324.13,1131983,10033,366912173,237802,21.01,6.3,0.8
29-03-2019,320.2,322.95,316.7,320.8,319.51,1443769,10099,461304543,359796,24.92,6.25,0.6
28-03-2019,310,319.9,309.15,318.4,314.3,2524781,18188,793533510,600270,23.78,10.75,8.4
27-03-2019,305,310.7,304.3,308.05,308.01,2323321,14127,715602380,625247,26.91,6.4,3.05
26-03-2019,294.05,305.95,294.05,303.3,300.32,2237048,8034,671824474,1051076,46.98,11.9,9.25
25-03-2019,294.9,295,292.4,293.8,293.88,2288397,7027,672509305,1651320,72.16,2.6,-1.1
22-03-2019,304.05,306.3,297,298.1,302.8,1756380,6625,531828864,991564,56.45,9.3,-5.95
20-03-2019,302.9,304.7,299.85,303.45,302.63,1777827,12656,538026824,650061,36.56,4.85,0.55
19-03-2019,300.05,306.2,299,302.75,303.19,1955315,11760,592831773,657571,33.63,7.2,2.7
18-03-2019,298.4,300.75,294.3,298.45,296.34,3018009,11174,894354584,1480147,49.04,6.45,0.05
15-03-2019,292.05,300.5,292.05,297.7,297.51,2317993,13472,689623971,876673,37.82,8.45,5.65
14-03-2019,294.15,294.6,290.45,291.15,291.8,1933895,8094,564305952,1080854,55.89,4.15,-3
13-03-2019,286.5,293.5,284.55,292.65,288.75,1853310,9369,535146262,755192,40.75,8.95,6.15
12-03-2019,289,289.75,285.3,286.5,286.88,2114120,9077,606492919,1059785,50.13,4.45,-2.5
11-03-2019,283.3,288.5,283.3,286.8,286.84,1742960,9277,499942813,685634,39.34,5.2,3.5
08-03-2019,282,284.2,279.8,281.25,282.13,2448108,7596,690686197,1122360,45.85,4.4,-0.75
07-03-2019,279.7,282,277.65,281.15,279.99,2438806,7074,682831777,1317023,54,4.35,1.45
06-03-2019,276.3,282.2,275.55,277.65,278.53,1332335,6553,371097509,624044,46.84,6.65,1.35
05-03-2019,271.9,277.5,271.2,276.05,275.98,2460449,7615,679039204,1624782,66.04,6.3,4.15
01-03-2019,270,274.4,270,272.95,272.78,1005936,6006,274397521,513088,51.01,4.4,2.95
28-02-2019,267.5,270.95,267.5,269.75,269.5,658736,5165,177531932,237017,35.98,3.45,2.25
27-02-2019,267.3,272.5,266.5,267.25,269.01,1174418,7453,315924551,314110,26.75,6,-0.05
26-02-2019,268,268.2,263.25,266.3,266.19,878518,5611,233857072,255367,29.07,4.95,-1.7
25-02-2019,271,271.45,268.15,270.2,269.77,564769,4206,152355501,198511,35.15,3.3,-0.8
22-02-2019,268,271.8,267.25,270.75,270.32,667047,4936,180319107,222324,33.33,4.55,2.75
21-02-2019,269.95,270.9,267,267.55,268.86,755803,5296,203204916,203690,26.95,3.9,-2.4
20-02-2019,265,267.7,264.5,267.05,265.92,741933,6050,197292454,242758,32.72,3.2,2.05
