Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.013,0.258,3953,Very Friendly,Mauritius,6,,,9641077098,0.046,362,161,0.014,0.218,0.115,76,69,0.845,0.224,0.704,0.072,1268565,0.41,Africa,1823000000,489000000,12/1/2008
0.021,0.529,49934,Friendly,Morocco,12,,14933,88882967742,0.054,156,358,0.031,0.331,,71,68,0.737,0.289,0.66,0.05,30955151,0.567,Africa,8885000000,1910000000,12/1/2008
0.042,0.375,2340,Moderate,Mozambique,26,,9264,9891003405,0.055,24,230,0.078,0.016,0.183,50,47,0.194,0.452,0.516,0.032,22762525,0.305,Africa,213000000,235000000,12/1/2008
0.028,0.228,3579,Friendly,Namibia,66,,1455,8493167843,0.069,287,339,0.041,0.053,0.137,63,57,0.498,0.387,0.579,0.034,2110791,0.396,Africa,484000000,114000000,12/1/2008
0.05,0.423,917,Low,Niger,19,,,5403364454,0.071,26,270,0.072,0.007,,56,56,0.129,0.496,0.479,0.026,14737895,0.172,Africa,86000000,98000000,12/1/2008
0.042,0.322,92621,Moderate,Nigeria,25,,111225,2.08E+11,0.065,88,938,0.088,0.159,0.155,51,50,0.417,0.438,0.535,0.027,151208080,0.417,Africa,959000000,11009000000,12/1/2008
0.038,0.334,543,Friendly,Rwanda,14,,,4674053754,0.101,47,160,0.05,0.045,0.165,61,59,0.129,0.447,0.53,0.023,10222961,0.22,Africa,224000000,146000000,12/1/2008
0.037,0.472,84,Low,Sao Tome and Principe,144,,,183464986,0.063,75,424,0.043,0.155,0.324,67,64,0.3,0.416,0.546,0.038,168253,0.604,Africa,7700000,300000,12/1/2008
0.039,0.455,5442,Low,Senegal,9,,3036,13386346543,0.049,54,666,0.051,0.106,,64,61,0.44,0.438,0.531,0.031,12238791,0.417,Africa,637000000,276000000,12/1/2008
0.018,0.466,708,Friendly,Seychelles,39,,,967211975,0.027,289,76,0.012,0.404,0.118,79,68,1.04,0.229,0.696,0.075,86956,0.518,Africa,46000000,7000000,12/1/2008
0.04,2.352,664,Moderate,Sierra Leone,17,,,2505620416,0.142,64,399,0.12,0.003,0.245,44,44,0.182,0.424,0.551,0.025,5532139,0.376,Africa,34000000,24000000,12/1/2008
0.046,,609,Not Clustered,Somalia,,,,,,,,0.102,0.011,,55,52,0.069,0.478,0.493,0.029,9140259,0.364,Africa,,,12/1/2008
0.022,0.337,465023,Very Friendly,South Africa,22,,146768,2.73E+11,0.08,437,200,0.046,0.084,0.151,54,51,0.895,0.3,0.65,0.049,49561256,0.612,Africa,9178000000,6905000000,12/1/2008
0.038,,,Low,South Sudan,,,,16382632812,0.02,34,,0.076,,,53,51,,0.434,0.533,0.033,9118386,0.176,Africa,,,12/1/2008
0.036,0.361,12589,Moderate,Sudan,39,,15539,54082389393,0.075,118,180,0.058,,,63,59,0.29,0.426,0.543,0.031,34040065,0.329,Africa,331000000,1188000000,12/1/2008
0.031,0.363,1093,Moderate,eSwatini,60,,,3019770680,0.082,214,104,0.074,0.069,0.148,47,48,0.461,0.399,0.568,0.033,1153929,0.217,Africa,26000000,59000000,12/1/2008
0.041,0.444,6538,Moderate,Tanzania,26,,18921,20715086119,0.054,26,172,0.047,0.019,0.15,58,56,0.307,0.448,0.522,0.031,42353790,0.268,Africa,1293000000,746000000,12/1/2008
0.038,0.526,1456,Low,Togo,62,,2563,3163416556,0.065,34,270,0.064,0.024,,56,54,0.259,0.423,0.549,0.028,5987491,0.366,Africa,44000000,68000000,12/1/2008
0.018,0.586,25013,Very Friendly,Tunisia,11,,9427,44856586316,0.056,246,228,0.017,0.275,,76,72,0.828,0.241,0.69,0.069,10328900,0.656,Africa,3909000000,555000000,12/1/2008
0.046,0.34,3161,Moderate,Uganda,25,,,14239026768,0.088,39,222,0.057,0.079,0.205,56,55,0.269,0.491,0.484,0.025,31778799,0.139,Africa,536000000,315000000,12/1/2008
0.043,0.15,1845,Friendly,Zambia,18,,7641,14640792100,0.066,78,183,0.067,0.056,0.191,52,51,0.284,0.47,0.504,0.027,12456527,0.379,Africa,148000000,107000000,12/1/2008
0.032,0.684,8148,Low,Zimbabwe,97,,8678,4415702801,,,256,0.058,0.114,,49,49,0.129,0.416,0.545,0.039,12784041,0.336,Africa,294000000,,12/1/2008
0.041,0.363,3927,Low,Afghanistan,9,,,10190534636,0.097,35,275,0.079,0.018,0.149,60,57,0.292,0.492,0.487,0.021,27032197,0.239,Asia,43000000,58000000,12/1/2008
0.014,0.386,5556,Very Friendly,Armenia,17,,3004,11662040714,0.038,149,581,0.018,0.062,0.17,77,71,0.484,0.208,0.681,0.111,2977488,0.64,Asia,377000000,383000000,12/1/2008
0.017,0.409,45702,Friendly,Azerbaijan,10,,13322,48852482960,0.044,241,376,0.037,0.171,0.198,73,67,0.738,0.237,0.701,0.062,8763400,0.53,Asia,382000000,456000000,12/1/2008
0.022,0.361,46435,Moderate,Bangladesh,73,,27873,79554350678,0.035,19,302,0.043,0.025,0.164,69,68,0.302,0.327,0.628,0.045,147969967,0.29,Asia,75000000,735000000,12/1/2008
0.021,0.408,422,Low,Bhutan,46,,,1258193519,0.052,95,274,0.038,0.066,0.138,66,66,0.366,0.312,0.645,0.043,692159,0.332,Asia,46000000,66000000,12/1/2008
0.018,0.374,10583,Friendly,Brunei,116,,3542,14393099069,0.022,821,144,0.008,0.46,0.055,80,76,1.028,0.275,0.691,0.034,388017,0.747,Asia,242000000,459000000,12/1/2008
0.026,0.215,3975,Moderate,Cambodia,102,,3514,10351829066,0.055,41,137,0.042,0.005,,72,67,0.304,0.332,0.62,0.048,13940518,0.195,Asia,1280000000,180000000,12/1/2008
0.012,0.799,7035444,Friendly,China,41,,2120814,4.52E+12,0.046,155,464,0.016,0.226,0.053,76,73,0.478,0.187,0.732,0.081,1324655000,0.465,Asia,44130000000,40987000000,12/1/2008
0.014,0.386,6238,Very Friendly,Georgia,3,,3005,12799337250,0.09,261,387,0.017,0.1,0.18,77,70,0.624,0.174,0.682,0.145,4383800,0.526,Asia,505000000,337000000,12/1/2008
0.011,0.241,38573,Very Friendly,"Hong Kong SAR, China",11,,14139,2.19E+11,,,80,,0.667,0.05,86,79,1.662,0.128,0.747,0.125,6957800,1,Asia,20236000000,16095000000,12/1/2008
0.022,0.703,1811289,Moderate,India,30,,632956,1.22E+12,0.039,43,271,0.05,0.044,0.133,67,63,0.295,0.31,0.641,0.049,1174662334,0.302,Asia,12462000000,12083000000,12/1/2008
0.021,0.375,412387,Moderate,Indonesia,77,,186605,5.10E+11,0.028,61,266,0.03,0.079,0.136,72,68,0.6,0.3,0.65,0.049,234243489,0.483,Asia,8150000000,8801000000,12/1/2008
0.009,0.55,1206916,Very Friendly,Japan,22,,495352,4.85E+12,0.086,3259,355,0.003,0.754,0.019,86,79,0.867,0.135,0.649,0.216,127704040,0.889,Asia,13781000000,38976000000,12/1/2008
0.023,0.415,230438,Friendly,Kazakhstan,21,,69983,1.33E+11,0.039,332,271,0.023,0.11,,72,62,0.958,0.245,0.684,0.071,15674000,0.541,Asia,1255000000,1361000000,12/1/2008
0.015,,78081,Not Clustered,"North Korea",,,20164,,,,,0.026,,,72,65,,0.235,0.682,0.083,24243894,0.6,Asia,,,12/1/2008
0.009,0.325,508052,Very Friendly,"South Korea",17,,226946,1.00E+12,0.066,1253,250,0.004,0.81,0.072,83,77,0.953,0.174,0.722,0.104,48948698,0.817,Asia,13479000000,21456000000,12/1/2008
0.024,0.614,5680,Friendly,Kyrgyz Republic,15,,2846,5139957785,0.061,60,202,0.03,0.157,0.199,73,65,0.653,0.302,0.649,0.049,5318700,0.353,Asia,569000000,451000000,12/1/2008
0.029,0.334,1742,Low,Laos,93,,,5443930125,0.041,36,560,0.063,0.036,0.24,67,65,0.329,0.381,0.581,0.037,6139127,0.308,Asia,280000000,51000000,12/1/2008
0.009,,1192,Not Clustered,"Macao SAR, China",,,,20731022857,,,,,0.492,0.054,82,77,1.838,0.141,0.788,0.071,507528,1,Asia,17297000000,902000000,12/1/2008
0.018,0.345,213221,Very Friendly,Malaysia,20,,73006,2.31E+11,0.034,288,145,0.007,0.558,0.061,77,72,1.015,0.287,0.667,0.046,27302348,0.692,Asia,18553000000,7724000000,12/1/2008
0.022,0.093,1008,Friendly,Maldives,9,,,1891633531,0.079,475,,0.014,0.232,0.13,77,75,1.388,0.313,0.637,0.049,313843,0.376,Asia,1559000000,211000000,12/1/2008
0.022,0.338,10029,Friendly,Mongolia,13,,3156,5623236708,0.064,136,204,0.032,0.098,0.206,70,62,0.67,0.273,0.689,0.038,2632834,0.656,Asia,272000000,249000000,12/1/2008
0.018,,9028,Low,Myanmar,,,15033,,0.02,10,,0.046,0.002,0.17,66,62,0.007,0.268,0.681,0.05,51174018,0.304,Asia,80000000,50000000,12/1/2008
0.025,0.341,3047,Moderate,Nepal,31,,9634,12545438605,0.061,27,408,0.04,0.017,0.08,67,65,0.16,0.383,0.57,0.047,26249412,0.162,Asia,353000000,545000000,12/1/2008
0.027,0.288,156676,Moderate,Pakistan,24,,82046,1.70E+11,0.033,29,560,0.076,0.07,0.129,67,65,0.527,0.365,0.593,0.043,167008083,0.358,Asia,986000000,2163000000,12/1/2008
0.026,0.471,75944,Moderate,Philippines,41,,40009,1.74E+11,0.038,74,195,0.026,0.062,0.088,71,65,0.754,0.36,0.604,0.036,90371287,0.458,Asia,3024000000,2553000000,12/1/2008
0.01,0.279,19637,Very Friendly,Singapore,4,,25162,1.92E+11,0.04,1577,84,0.002,0.69,0.054,83,78,1.323,0.181,0.733,0.086,4839400,1,Asia,10714000000,16340000000,12/1/2008
0.019,0.617,11892,Friendly,Sri Lanka,40,,8942,40715240469,0.034,68,256,0.01,0.058,0.189,77,71,0.542,0.252,0.674,0.074,20217000,0.183,Asia,803000000,777000000,12/1/2008
0.031,0.834,3033,Moderate,Tajikistan,62,,2473,5161336170,0.056,40,224,0.048,0.088,0.237,70,63,0.505,0.365,0.6,0.035,7275252,0.265,Asia,23700000,10800000,12/1/2008
0.012,0.375,261838,Very Friendly,Thailand,33,,107656,2.73E+11,0.039,162,264,0.013,0.182,0.07,77,70,0.934,0.205,0.711,0.084,66185340,0.414,Asia,22497000000,6700000000,12/1/2008
0.037,0.326,191,Low,Timor-Leste,157,,,693800000,0.086,55,640,0.056,0.002,0.131,66,63,0.119,0.477,0.494,0.03,1032182,0.282,Asia,14000000,51000000,12/1/2008
0.022,,55093,Not Clustered,Turkmenistan,,,22669,19271523179,0.019,81,,0.054,0.018,,69,61,0.231,0.304,0.653,0.043,4917543,0.478,Asia,,,12/1/2008
0.024,0.898,120039,Low,Uzbekistan,15,,50512,27934030937,0.052,53,205,0.043,0.091,,71,64,0.458,0.31,0.645,0.046,27302800,0.363,Asia,64000000,,12/1/2008
0.017,0.399,127164,Friendly,Vietnam,39,,48984,99130304099,0.06,63,1050,0.022,0.239,0.158,80,70,0.857,0.247,0.688,0.066,85122300,0.291,Asia,3930000000,1300000000,12/1/2008
0.013,0.462,4129,Friendly,Albania,9,,2061,12881352688,0.061,251,368,0.016,0.239,0.13,80,74,0.589,0.243,0.662,0.095,2912559,0.5,Europe,1848000000,1644000000,12/1/2008
0.01,,539,Not Clustered,Andorra,,,,3712034267,0.062,3105,,0.003,0.7,,,,0.803,,,,79969,0.889,Europe,,,12/1/2008
0.009,0.524,68269,Very Friendly,Austria,25,,33545,4.14E+11,0.105,5211,170,0.004,0.729,,83,78,1.297,0.152,0.677,0.171,8336926,0.658,Europe,24346000000,13993000000,12/1/2008
0.011,1.175,62816,Friendly,Belarus,31,,28098,60763483146,0.059,378,987,0.006,0.23,0.086,77,65,0.851,0.148,0.708,0.143,9528000,0.737,Europe,585000000,860000000,12/1/2008
0.012,0.552,103882,Very Friendly,Belgium,4,,58600,5.07E+11,0.099,4715,156,0.004,0.66,0.092,83,77,1.053,0.168,0.661,0.171,10709973,0.975,Europe,13106000000,21445000000,12/1/2008
0.008,0.428,30997,Moderate,Bosnia and Herzegovina,69,,5954,18543289395,0.088,425,428,0.007,0.347,0.07,78,73,0.823,0.181,0.674,0.144,3861201,0.392,Europe,913000000,345000000,12/1/2008
0.01,0.339,50792,Friendly,Bulgaria,49,,19815,51824892678,0.07,474,616,0.012,0.397,0.109,77,70,1.39,0.133,0.688,0.179,7492561,0.716,Europe,4852000000,2602000000,12/1/2008
0.01,0.214,23366,Friendly,Croatia,22,,9084,69595512099,0.078,1224,196,0.005,0.442,0.101,80,72,1.045,0.156,0.671,0.173,4434508,0.57,Europe,11681000000,1156000000,12/1/2008
0.012,0.206,8555,Very Friendly,Cyprus,8,,2574,25321517504,0.069,2182,149,0.003,0.423,,81,77,0.944,0.186,0.703,0.112,1077089,0.678,Europe,3231000000,1895000000,12/1/2008
0.012,0.477,117014,Friendly,Czechia,20,,44870,2.25E+11,0.068,1481,808,0.004,0.63,0.063,80,74,1.324,0.142,0.711,0.147,10384603,0.734,Europe,8871000000,4797000000,12/1/2008
0.012,0.292,46960,Very Friendly,Denmark,6,,19200,3.44E+11,0.102,6395,135,0.004,0.85,,81,76,1.193,0.183,0.657,0.159,5493621,0.865,Europe,6281000000,9698000000,12/1/2008
0.012,0.479,17492,Very Friendly,Estonia,7,,5440,23781549758,0.06,1060,81,0.004,0.706,0.085,79,69,1.242,0.151,0.676,0.173,1337090,0.684,Europe,1643000000,939000000,12/1/2008
,,719,Not Clustered,Faeroe Islands,,,,2412859693,,,,,0.756,,83,78,1.106,,,,49601,0.405,Europe,,,12/1/2008
0.011,0.478,56593,Very Friendly,Finland,14,,35284,2.72E+11,0.083,4262,269,0.003,0.837,,83,76,1.284,0.168,0.668,0.165,5313399,0.833,Europe,4873000000,5579000000,12/1/2008
0.013,0.645,372564,Very Friendly,France,7,,264803,2.83E+12,0.11,4877,132,0.004,0.707,,85,78,0.927,0.184,0.651,0.165,64371099,0.779,Europe,67779000000,50021000000,12/1/2008
0.008,0.494,783359,Very Friendly,Germany,18,,334634,3.62E+12,0.107,4718,196,0.004,0.78,,82,77,1.266,0.137,0.66,0.202,82110097,0.739,Europe,53398000000,1.06E+11,12/1/2008
0.011,0.467,97810,Friendly,Greece,19,,30419,3.42E+11,0.101,3085,224,0.004,0.382,,83,78,1.245,0.144,0.668,0.188,11186439,0.756,Europe,17586000000,3946000000,12/1/2008
0.01,0.566,54657,Friendly,Hungary,5,,26458,1.54E+11,0.075,1146,330,0.006,0.61,0.102,78,70,1.217,0.149,0.688,0.163,10038188,0.679,Europe,7113000000,3833000000,12/1/2008
0.015,0.258,2120,Very Friendly,Iceland,5,,5354,16832076487,0.093,4959,140,0.002,0.91,0.201,83,80,1.089,0.213,0.668,0.119,317414,0.934,Europe,881000000,1103000000,12/1/2008
0.017,0.254,43021,Very Friendly,Ireland,13,,14903,2.64E+11,0.091,5393,76,0.004,0.653,,82,78,1.16,0.21,0.679,0.111,4489544,0.613,Europe,9967000000,10539000000,12/1/2008
0.01,0.725,447187,Friendly,Italy,10,,176004,2.31E+12,0.089,3441,314,0.004,0.445,0.068,85,79,1.509,0.14,0.66,0.2,58826731,0.681,Europe,48757000000,37807000000,12/1/2008
0.019,,,Friendly,Kosovo,,,2216,5771473142,,,,,,0.138,72,67,,,,,1747383,,Europe,,,12/1/2008
0.011,0.368,7591,Very Friendly,Latvia,16,,4586,33669367720,0.066,979,279,0.009,0.634,0.119,78,67,1.075,0.141,0.679,0.18,2177322,0.678,Europe,1134000000,1250000000,12/1/2008
0.01,,,Not Clustered,Liechtenstein,,,,4929414915,,,,,0.7,,86,80,0.956,,,,35582,0.146,Europe,,,12/1/2008
